"№","column1","Игрок","Команда","Амплуа","Очки [{""name"":""data""},{""name"":""pen""},{""name"":""mins""},{""name"":""goal"",""reverse"":true},{""name"":""days"",""reverse"":true},{""name"":""average""},{""name"":""game""}]","Игры [{""name"":""game"",""empty"":""first""}]"
"198","","Мурат Енипазар","Турция","связующий","9","5"
"199","","Ян Мартинес","Аргентина","либеро","8","2"
"200","","Антуан Бризар","Франция","связующий","8","3"
"201","","Вейкка Линдквист","Финляндия","диагональный","8","3"
"202","","Венислав Антов","Болгария","диагональный","8","3"
"203","","Георги Татаров","Болгария","доигровщик","8","3"
"204","","Николас Серба","Аргентина","центральный блокирующий","8","3"
"205","","Янник Бак","Нидерланды","доигровщик","8","3"
"206","","Халид Бен Слиман","Тунис","связующий","8","4"
"207","","Кайл Энсинг","США","диагональный","7","1"
"208","","Мориц Райхерт","Германия","доигровщик","7","1"
"209","","Ахмет Тюмер","Турция","центральный блокирующий","7","2"
"210","","Чжан Чжэцзя","Китай","центральный блокирующий","7","2"
"211","","Абдельрахман Бакри","Катар","диагональный","7","3"
"212","","Марлон Мендоса","Колумбия","доигровщик","7","3"
"213","","Преслав Петков","Болгария","центральный блокирующий","7","3"
"214","","Тацунори Оцука","Япония","доигровщик","7","3"
"215","","Эйд Яссин","Египет","связующий","7","3"
"216","","Никола Йовович","Сербия","связующий","7","4"
"217","","Амир Эсфандияр","Иран","доигровщик","7","5"
"218","","Марцин Коменда","Польша","связующий","7","7"
"219","","Джейкоб Пастёр","США","доигровщик","6","1"
"220","","Ибрагим Абдалла","Катар","центральный блокирующий","6","1"
"221","","Мариан Юлиан Бала","Румыния","доигровщик","6","2"
"222","","Таиси Онодэра","Япония","центральный блокирующий","6","2"
"223","","Борислав Георгиев","Катар","связующий","6","3"
"224","","Ксандер Кентшински","Канада","диагональный","6","3"
"225","","Рафаэль Сантос","Португалия","доигровщик","6","3"
"226","","Софьян Буюсеф","Алжир","центральный блокирующий","6","3"
"227","","Хван Тхэк Ый","Южная Корея","связующий","6","3"
"228","","Эйса Насери","Иран","центральный блокирующий","6","3"
"229","","Грегор Ропрет","Словения","связующий","6","4"
"230","","Матис Энно","Франция","доигровщик","5","2"
"231","","Мохамед Видаталла","Катар","диагональный","5","2"
"232","","Тимофей Полуян","Украина","доигровщик","5","2"
"233","","Франсуа Юэтс","Франция","центральный блокирующий","5","2"
"234","","Хирото Нисияма","Япония","диагональный","5","2"
"235","","Абдельрахман Абу Зариба","Ливия","связующий","5","3"
"236","","Ллойд Джозафат","Филиппины","центральный блокирующий","5","3"
"237","","Стефан Лупу","Румыния","центральный блокирующий","5","3"
"238","","Юрий Синица","Украина","связующий","5","3"
"239","","Лусиано Де Чекко","Аргентина","связующий","5","4"
"240","","Люк Херр","Канада","связующий","5","4"
"241","","Джанлука Галасси","Италия","центральный блокирующий","4","1"
"242","","Матиас Хадуэ","Чили","диагональный","4","1"
"243","","Артур Шальпук","Польша","доигровщик","4","2"
"244","","Филипп Джон","Германия","диагональный","4","2"
"245","","Ахмед Омар","Египет","доигровщик","4","3"
"246","","Базиль Дермо","Бельгия","диагональный","4","3"
"247","","Кентен Жуффруа","Франция","центральный блокирующий","4","3"
"248","","Лука Порро","Италия","доигровщик","4","3"
"249","","Рок Брачко","Словения","доигровщик","4","3"
"250","","Самир Шикхи","Алжир","центральный блокирующий","4","3"
"251","","Самуэль Харамильо","Колумбия","связующий","4","3"
"252","","Ян Циммерман","Германия","связующий","4","3"
"253","","Йорис Беркхаут","Нидерланды","связующий","4","4"
"254","","Александру Константин Ионеску","Румыния","диагональный","3","2"
"255","","Андре Перейра","Португалия","доигровщик","3","2"
"256","","Даошуай Цзи","Китай","доигровщик","3","2"
"257","","Джафер Киркит","Турция","доигровщик","3","2"
"258","","Кён Пок На","Южная Корея","доигровщик","3","2"
"259","","Ю Юаньтай","Китай","доигровщик","3","2"
"260","","Клаудиу Думитру","Румыния","связующий","3","3"
"261","","Махди Бен Тахар","Тунис","центральный блокирующий","3","3"
"262","","Мохамед Заяд","Египет","диагональный","3","3"
"263","","Тьягу Виолаш","Португалия","связующий","3","3"
"264","","Фернандо Крелинг","Бразилия","связующий","3","3"
"265","","Хулио Гомес","Куба","связующий","3","3"
"266","","Хфайед Хамза","Тунис","доигровщик","3","3"
"267","","Яссер Амрат","Алжир","доигровщик","3","3"
"268","","Аршия Бехнежад","Иран","связующий","3","5"
"269","","Висенте Ибарра","Чили","диагональный","2","1"
"270","","Джексон Хоу","Канада","центральный блокирующий","2","1"
"271","","Кристиан Паласиос","Колумбия","центральный блокирующий","2","1"
"272","","Мубарак Алкувари","Катар","доигровщик","2","1"
"273","","Неманья Машулович","Сербия","центральный блокирующий","2","1"
"274","","Абдеррахим Араб","Алжир","центральный блокирующий","2","2"
"275","","Бардия Саадат","Иран","диагональный","2","2"
"276","","Висенте Мардонес","Чили","диагональный","2","2"
"277","","Мийка Хаапаниеми","Финляндия","центральный блокирующий","2","2"
"278","","Нейц Найдич","Словения","связующий","2","2"
"279","","Нооа Марттила","Финляндия","диагональный","2","2"
"280","","Симон Пласки","Бельгия","доигровщик","2","2"
"281","","Ахмед Абдельрахман","Египет","доигровщик","2","3"
"282","","Йордан Биссет","Куба","диагональный","2","3"
"283","","Лука Маровт","Словения","доигровщик","2","3"
"284","","Хуан Амбуила","Колумбия","связующий","2","3"
"285","","Элхуш Солтан","Ливия","центральный блокирующий","2","3"
"286","","Тван Вилтенбург","Нидерланды","центральный блокирующий","2","4"
"287","","Майка Ма'а","США","связующий","2","5"
"288","","Франческо Сани","Италия","доигровщик","2","5"
"289","","Габриэль Арайя","Чили","центральный блокирующий","1","1"
"290","","Давид Фиэль","Куба","центральный блокирующий","1","1"
"291","","Иржи Срб","Чехия","связующий","1","1"
"292","","Матиас Санчес","Аргентина","связующий","1","1"
"293","","Пак Чхан Сон","Южная Корея","центральный блокирующий","1","1"
